[2026-05-11 07:57:24] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.82, 146.86, 0.12) | 碰撞车速：32.5 km/h
[2026-05-11 07:57:27] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.85, 0.14) | 碰撞车速：5.4 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.86, 0.12) | 碰撞车速：4.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：2.5 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.4 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.2 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.2 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.2 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.2 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.87, 0.12) | 碰撞车速：0.1 km/h
[2026-05-11 07:57:28] 发生碰撞 | 碰撞对象：static.static | 位置：(-43.47, 146.88, 0.12) | 碰撞车速：0.1 km/h
