bus_pair,stop_index,no_control_headway_min,adaptive_holding_headway_min
1.0000,1.0000,5.9650,6.1512
1.0000,2.0000,5.9650,6.8059
1.0000,3.0000,5.8950,7.3559
1.0000,4.0000,5.8250,7.9409
1.0000,5.0000,5.7900,8.4909
1.0000,6.0000,6.0000,8.6834
1.0000,7.0000,5.9650,8.8759
1.0000,8.0000,5.9650,9.0684
1.0000,9.0000,5.9650,9.2609
1.0000,10.0000,5.9650,9.5234
2.0000,1.0000,6.0000,6.0073
2.0000,2.0000,6.0000,6.1959
2.0000,3.0000,6.0350,6.4407
2.0000,4.0000,10.8150,11.1157
2.0000,5.0000,10.7100,11.0807
2.0000,6.0000,10.5350,11.0807
2.0000,7.0000,10.5700,11.0807
2.0000,8.0000,10.5700,11.0807
2.0000,9.0000,10.5700,11.0807
2.0000,10.0000,10.6400,11.0807
3.0000,1.0000,6.0000,6.0021
3.0000,2.0000,6.0000,6.0563
3.0000,3.0000,6.0000,6.1289
3.0000,4.0000,1.0100,1.5889
3.0000,5.0000,0.6950,1.6189
3.0000,6.0000,0.6250,2.3914
3.0000,7.0000,0.4850,3.0939
3.0000,8.0000,0.3450,3.8314
3.0000,9.0000,0.1700,4.5339
3.0000,10.0000,0.0300,5.2714
4.0000,1.0000,6.0000,6.0006
4.0000,2.0000,6.0000,5.9812
4.0000,3.0000,6.0000,5.9738
4.0000,4.0000,6.2450,6.0842
4.0000,5.0000,6.7700,6.4184
4.0000,6.0000,6.8400,6.5890
4.0000,7.0000,6.9800,5.9295
4.0000,8.0000,7.1200,5.3381
4.0000,9.0000,7.2950,4.7662
4.0000,10.0000,7.4000,4.1769
5.0000,1.0000,6.0000,6.0002
5.0000,2.0000,6.0000,6.0298
5.0000,3.0000,6.0000,6.0629
5.0000,4.0000,6.0000,6.0688
5.0000,5.0000,5.9300,6.0846
5.0000,6.0000,6.0000,6.1909
5.0000,7.0000,6.0000,6.2702
5.0000,8.0000,6.0000,6.1789
5.0000,9.0000,6.0000,6.1105
5.0000,10.0000,5.9650,5.9560
6.0000,1.0000,6.0000,6.0000
6.0000,2.0000,6.0000,5.9734
6.0000,3.0000,6.0000,5.9403
6.0000,4.0000,6.0000,5.9763
6.0000,5.0000,6.0000,5.9763
6.0000,6.0000,6.0000,5.9794
6.0000,7.0000,6.0000,6.0429
6.0000,8.0000,6.0000,6.0213
6.0000,9.0000,6.0000,6.0300
6.0000,10.0000,6.0000,6.0227
7.0000,1.0000,6.0000,6.0000
7.0000,2.0000,6.0000,6.0276
7.0000,3.0000,6.0000,6.0612
7.0000,4.0000,6.0000,6.0375
7.0000,5.0000,6.0000,6.0375
7.0000,6.0000,6.0000,6.0375
7.0000,7.0000,6.0000,6.0380
7.0000,8.0000,6.0000,6.0364
7.0000,9.0000,6.0000,6.0357
7.0000,10.0000,6.0000,6.0345
