时间,高度,速度,电池,滚转,俯仰,偏航,温度,警告,修复
0.01,-892.87,204467.29,100.0,113.6,-51.2,-179.4,25.0,3,1
0.01,0.42,0.24,100.0,0.0,5.2,0.0,25.0,3,0
0.01,0.46,0.58,100.0,0.0,4.5,0.0,25.0,3,0
0.02,0.45,0.93,100.0,0.0,3.9,0.0,25.0,3,0
0.03,0.43,1.27,100.0,0.0,4.7,0.0,25.0,3,0
0.03,0.40,1.61,100.0,0.0,6.4,0.0,25.0,3,0
0.04,0.38,1.96,100.0,0.0,3.5,0.0,25.0,3,0
0.04,0.35,2.30,100.0,0.0,1.9,0.0,25.0,3,0
0.04,0.33,2.64,100.0,0.0,1.2,0.0,25.0,3,0
0.05,0.31,2.99,100.0,0.0,4.6,0.0,25.0,3,0
0.05,0.31,3.33,100.0,0.0,5.3,0.0,25.0,3,0
0.06,0.30,3.67,100.0,0.0,4.9,0.0,25.0,3,0
0.06,0.30,4.02,100.0,0.0,4.4,0.0,25.0,3,0
0.07,0.32,4.36,100.0,0.0,3.2,0.0,25.0,3,0
0.07,0.31,4.70,100.0,0.0,0.8,0.0,25.0,3,0
0.08,0.39,5.05,100.0,0.0,1.5,0.0,25.0,3,0
0.09,0.39,5.39,100.0,0.0,2.3,0.0,25.0,3,0
0.09,0.42,5.73,100.0,0.0,1.4,0.0,25.0,3,0
0.10,0.46,6.07,100.0,0.0,1.7,0.0,25.0,3,0
0.10,0.51,6.42,100.0,0.0,3.4,0.0,25.0,4,0
0.11,0.64,6.76,100.0,0.0,3.2,0.0,25.0,4,0
0.11,0.75,7.10,100.0,0.0,4.1,0.0,25.0,4,0
0.12,0.83,7.45,100.0,0.0,6.7,0.0,25.0,4,0
0.12,0.85,7.79,100.0,0.0,7.9,0.0,25.0,4,0
0.13,0.88,8.13,100.0,0.0,8.9,0.0,25.0,4,0
0.13,0.92,8.48,100.0,0.0,9.9,0.0,25.0,4,0
0.14,0.97,8.82,100.0,0.0,10.6,0.0,25.0,4,0
0.14,1.02,9.16,100.0,0.0,11.2,0.0,25.0,4,0
0.15,1.07,9.51,100.0,0.0,11.7,0.0,25.0,4,0
0.15,1.13,9.85,100.0,0.0,12.2,0.0,25.0,4,0
0.16,1.19,10.19,100.0,0.0,12.6,0.0,25.0,4,0
0.16,1.08,10.54,100.0,0.0,12.6,0.0,25.0,4,0
0.17,1.13,10.88,100.0,0.0,13.0,0.0,25.0,4,0
0.17,1.19,11.22,100.0,0.0,13.3,0.0,25.0,4,0
0.18,1.25,11.57,100.0,0.0,13.6,0.0,25.0,4,0
0.18,1.30,11.91,100.0,0.0,13.8,0.0,25.0,4,0
0.19,1.36,12.25,100.0,0.0,14.0,0.0,25.0,4,0
0.19,1.41,12.59,100.0,0.0,14.1,0.0,25.0,4,0
0.20,1.27,12.94,100.0,0.0,14.1,0.0,25.0,4,0
0.20,1.32,13.28,100.0,0.0,14.3,0.0,25.0,4,0
0.21,1.37,13.62,100.0,0.0,14.4,0.0,25.0,4,0
0.21,1.41,13.97,100.0,0.0,14.5,0.0,25.0,4,0
0.22,1.45,14.31,100.0,0.0,14.6,0.0,25.0,4,0
0.22,1.49,14.65,100.0,0.0,14.7,0.0,25.0,4,0
0.23,1.53,15.00,100.0,0.0,14.7,0.0,25.0,4,0
0.23,1.56,15.34,100.0,0.0,14.8,0.0,25.0,4,0
0.24,1.59,15.68,100.0,0.0,14.8,0.0,25.0,4,0
0.24,1.61,16.03,100.0,0.0,14.9,0.0,25.0,4,0
0.25,1.64,16.37,100.0,0.0,14.9,0.0,25.0,4,0
0.25,1.66,16.71,100.0,0.0,14.9,0.0,25.0,4,0
0.26,1.68,17.06,100.0,0.0,15.0,0.0,25.0,4,0
0.26,1.69,17.40,100.0,0.0,15.0,0.0,25.0,4,0
0.27,1.90,17.74,100.0,0.0,15.0,0.0,25.0,4,0
0.27,1.90,18.09,100.0,0.0,15.0,0.0,25.0,4,0
0.28,1.91,18.43,100.0,0.0,15.1,0.0,25.0,4,0
0.28,1.91,18.77,100.0,0.0,15.1,0.0,25.0,4,0
0.29,1.91,19.11,100.0,0.0,15.1,0.0,25.0,4,0
0.29,1.90,19.46,100.0,0.0,15.1,0.0,25.0,4,0
0.30,2.42,19.80,100.0,0.0,10.5,0.0,25.0,4,0
0.30,2.53,20.14,100.0,0.0,12.6,0.0,25.0,4,0
0.31,2.31,20.49,100.0,0.0,13.9,0.0,25.0,4,0
0.31,2.02,19.96,100.0,3.0,4.0,-1.2,25.0,5,0
0.32,1.81,18.52,100.0,5.5,-4.4,-5.3,25.0,5,0
0.32,1.61,18.74,100.0,-0.5,-3.0,-4.8,25.0,5,0
0.33,1.44,18.96,100.0,-6.7,0.8,-4.3,25.0,5,0
0.33,1.28,19.14,100.0,-11.3,5.5,-4.3,25.0,5,0
0.34,1.11,19.29,100.0,-12.8,5.7,-5.0,25.0,5,0
0.34,0.92,19.43,100.0,-11.7,15.7,-5.7,25.0,5,0
0.35,0.72,19.56,100.0,-7.2,21.5,-5.7,25.0,5,0
0.35,0.52,19.70,100.0,-0.4,23.7,-5.1,25.0,5,0
0.36,0.32,19.86,100.0,6.5,22.1,-4.4,25.0,5,0
0.36,0.25,10.27,100.0,12.7,4.9,-5.5,25.0,5,0
0.37,0.29,10.38,100.0,10.5,-0.7,-6.1,25.0,5,0
0.37,0.32,10.53,100.0,4.5,-5.8,-5.8,25.0,5,0
0.38,0.35,10.70,100.0,-3.2,-10.2,-4.9,25.0,5,0
0.38,0.35,10.88,100.0,-10.9,-4.9,-4.4,25.0,5,0
0.39,0.29,11.00,100.0,-15.1,2.0,-5.1,25.0,5,0
0.39,0.31,11.05,100.0,-14.6,10.1,-6.2,25.0,5,0
0.40,0.30,11.02,100.0,-9.3,18.2,-6.5,25.0,5,0
0.40,0.27,10.95,100.0,-0.6,23.6,-5.6,25.0,5,0
0.41,0.25,10.90,100.0,9.0,19.6,-4.4,25.0,6,0
0.41,0.28,3.47,100.0,8.4,5.4,-6.7,25.0,6,0
0.42,0.33,3.77,100.0,5.0,-3.7,-8.5,25.0,6,0
0.42,0.36,3.74,100.0,-2.1,-0.5,-8.1,25.0,6,0
0.43,0.37,3.81,100.0,-8.6,5.0,-8.0,25.0,6,0
0.43,0.38,3.83,100.0,-10.1,13.2,-8.7,25.0,6,0
