request_id,arrival_s,origin_floor,destination_floor,passengers,nearest_elevator,nearest_pickup_s,nearest_dropoff_s,nearest_wait_s,optimized_elevator,optimized_pickup_s,optimized_dropoff_s,optimized_wait_s
1.000,180.000,1.000,8.000,1.000,0.000,188.000,215.600,8.000,0.000,188.000,215.600,8.000
2.000,200.000,1.000,4.000,1.000,1.000,208.000,224.400,8.000,1.000,208.000,224.400,8.000
3.000,235.000,1.000,10.000,1.000,2.000,243.000,276.200,8.000,2.000,243.000,276.200,8.000
4.000,260.000,1.000,9.000,1.000,3.000,268.000,298.400,8.000,3.000,268.000,298.400,8.000
5.000,290.000,1.000,6.000,2.000,1.000,306.400,328.400,16.400,1.000,306.400,328.400,16.400
6.000,300.000,1.000,13.000,2.000,1.000,350.400,392.000,50.400,0.000,327.600,369.200,27.600
7.000,345.000,1.000,4.000,2.000,0.000,372.600,389.000,27.600,1.000,367.000,383.400,22.000
8.000,350.000,1.000,3.000,1.000,0.000,405.400,419.000,55.400,3.000,380.400,394.000,30.400
9.000,365.000,1.000,8.000,1.000,0.000,432.600,460.200,67.600,2.000,398.200,425.800,33.200
10.000,380.000,1.000,10.000,1.000,3.000,410.400,443.600,30.400,1.000,399.800,433.000,19.800
11.000,395.000,1.000,15.000,1.000,0.000,487.800,535.000,92.800,3.000,408.600,455.800,13.600
12.000,395.000,1.000,13.000,1.000,2.000,428.200,469.800,33.200,0.000,436.600,478.200,41.600
13.000,395.000,1.000,11.000,1.000,3.000,476.800,512.800,81.800,2.000,453.400,489.400,58.400
14.000,400.000,1.000,3.000,2.000,1.000,441.600,455.200,41.600,1.000,466.200,479.800,66.200
15.000,420.000,1.000,9.000,1.000,1.000,468.800,499.200,48.800,1.000,493.400,523.800,73.400
16.000,425.000,1.000,3.000,1.000,1.000,529.600,543.200,104.600,3.000,503.000,516.600,78.000
17.000,430.000,1.000,16.000,1.000,1.000,556.800,606.800,126.800,3.000,530.200,580.200,100.200
18.000,440.000,1.000,13.000,1.000,3.000,548.800,590.400,108.800,0.000,519.800,561.400,79.800
19.000,445.000,1.000,16.000,1.000,2.000,511.400,561.400,66.400,2.000,525.400,575.400,80.400
20.000,450.000,1.000,7.000,1.000,3.000,632.000,656.800,182.000,1.000,554.200,579.000,104.200
21.000,485.000,1.000,9.000,1.000,3.000,681.600,712.000,196.600,1.000,603.800,634.200,118.800
22.000,490.000,1.000,12.000,3.000,3.000,742.400,781.200,252.400,0.000,603.000,641.800,113.000
