vehicle_id,arrival_min,deadline_min,energy_kwh,priority,fcfs_start_min,fcfs_finish_min,fcfs_wait_min,optimized_start_min,optimized_finish_min,optimized_wait_min
1.000,350.000,504.000,31.940,1.000,350.000,440.000,0.000,410.000,500.000,60.000
2.000,365.000,534.000,31.940,2.000,365.000,455.000,0.000,440.000,530.000,75.000
3.000,475.000,680.000,30.580,1.000,475.000,560.000,0.000,595.000,680.000,120.000
4.000,490.000,753.000,45.210,2.000,490.000,615.000,0.000,625.000,750.000,135.000
5.000,505.000,635.000,41.150,2.000,505.000,620.000,0.000,520.000,635.000,15.000
6.000,510.000,783.000,28.730,1.000,510.000,590.000,0.000,700.000,780.000,190.000
7.000,515.000,759.000,30.750,1.000,515.000,600.000,0.000,670.000,755.000,155.000
8.000,525.000,714.000,45.790,1.000,525.000,650.000,0.000,585.000,710.000,60.000
9.000,525.000,794.000,39.910,2.000,560.000,670.000,35.000,680.000,790.000,155.000
10.000,530.000,684.000,27.710,1.000,590.000,670.000,60.000,530.000,610.000,0.000
11.000,700.000,897.000,28.990,2.000,700.000,780.000,0.000,815.000,895.000,115.000
12.000,710.000,1026.000,32.510,2.000,710.000,800.000,0.000,935.000,1025.000,225.000
13.000,715.000,910.000,32.100,1.000,715.000,805.000,0.000,790.000,880.000,75.000
14.000,715.000,858.000,38.120,2.000,715.000,820.000,0.000,750.000,855.000,35.000
15.000,730.000,955.000,23.850,1.000,730.000,800.000,0.000,880.000,950.000,150.000
16.000,735.000,1058.000,39.920,1.000,735.000,845.000,0.000,760.000,870.000,25.000
17.000,770.000,981.000,38.890,1.000,780.000,890.000,10.000,870.000,980.000,100.000
18.000,855.000,1085.000,37.960,1.000,855.000,960.000,0.000,980.000,1085.000,125.000
19.000,995.000,1322.000,30.160,3.000,995.000,1080.000,0.000,995.000,1080.000,0.000
20.000,1030.000,1299.000,30.520,2.000,1030.000,1115.000,0.000,1030.000,1115.000,0.000
21.000,1040.000,1324.000,31.600,1.000,1040.000,1130.000,0.000,1230.000,1320.000,190.000
22.000,1055.000,1314.000,45.830,1.000,1055.000,1180.000,0.000,1185.000,1310.000,130.000
23.000,1060.000,1309.000,36.690,1.000,1060.000,1165.000,0.000,1200.000,1305.000,140.000
24.000,1060.000,1193.000,42.460,2.000,1060.000,1180.000,0.000,1060.000,1180.000,0.000
25.000,1075.000,1208.000,20.700,1.000,1080.000,1140.000,5.000,1145.000,1205.000,70.000
26.000,1085.000,1264.000,44.200,2.000,1115.000,1240.000,30.000,1135.000,1260.000,50.000
27.000,1085.000,1394.000,39.750,2.000,1130.000,1240.000,45.000,1280.000,1390.000,195.000
28.000,1095.000,1361.000,18.920,1.000,1140.000,1195.000,45.000,1305.000,1360.000,210.000
29.000,1165.000,1366.000,26.430,2.000,1165.000,1240.000,0.000,1290.000,1365.000,125.000
30.000,1260.000,1440.000,30.400,1.000,1260.000,1345.000,0.000,1355.000,1440.000,95.000
