generation,best_score,best_delay,best_queue
0,633.147814,442.608751,237.734255
1,589.636342,432.990485,192.652837
2,572.901833,425.036385,181.216043
3,572.901833,425.036385,181.216043
4,572.901833,425.036385,181.216043
5,567.721141,422.973514,177.053545
6,567.721141,422.973514,177.053545
7,567.721141,422.973514,177.053545
8,567.721141,422.973514,177.053545
9,562.563294,421.724699,171.847369
10,562.563294,421.724699,171.847369
11,562.563294,421.724699,171.847369
12,559.835597,422.382636,167.331381
13,559.835597,422.382636,167.331381
14,559.835597,422.382636,167.331381
15,559.835597,422.382636,167.331381
16,559.835597,422.382636,167.331381
17,559.835597,422.382636,167.331381
18,559.835597,422.382636,167.331381
19,559.835597,422.382636,167.331381
20,559.835597,422.382636,167.331381
21,559.835597,422.382636,167.331381
22,559.835597,422.382636,167.331381
23,559.835597,422.382636,167.331381
24,559.835597,422.382636,167.331381
25,559.835597,422.382636,167.331381
26,559.835597,422.382636,167.331381
27,559.835597,422.382636,167.331381
28,559.835597,422.382636,167.331381
29,559.835597,422.382636,167.331381
30,559.835597,422.382636,167.331381
31,559.835597,422.382636,167.331381
32,559.835597,422.382636,167.331381
33,559.835597,422.382636,167.331381
34,559.835597,422.382636,167.331381
35,558.683659,421.69982,166.705078
