vehicle_id,arrival_min,needs_charger,needs_accessible,nearest_spot,nearest_zone,nearest_walk_m,balanced_spot,balanced_zone,balanced_walk_m,balanced_wait_min
1,440,0,0,1,A,152.0,71,D,26.80000000000001,0
2,445,0,1,2,A,146.8,3,A,141.6,0
3,445,0,0,3,A,141.6,48,C,53.0,0
4,450,0,0,7,A,159.0,70,D,30.400000000000006,40
5,450,0,0,4,A,136.4,47,C,58.2,40
6,470,0,0,8,A,153.8,24,B,89.0,0
7,475,0,0,5,A,131.2,6,A,126.0,0
8,480,1,0,9,A,148.6,1,A,152.0,20
9,485,0,0,1,A,152.0,71,D,26.80000000000001,30
10,485,0,0,6,A,126.0,46,C,63.400000000000006,40
11,485,0,0,13,A,166.0,69,D,35.599999999999994,40
12,490,0,0,10,A,143.4,45,C,68.6,40
13,495,1,0,14,A,160.8,68,D,40.80000000000001,40
14,500,0,0,11,A,138.2,23,B,94.2,0
15,505,0,0,15,A,155.6,22,B,99.4,0
16,505,0,0,12,A,133.0,5,A,131.2,20
17,510,0,0,16,A,150.4,21,B,104.6,20
18,515,0,0,3,A,141.6,48,C,53.0,40
19,520,0,0,4,A,136.4,20,B,109.8,20
20,520,0,0,9,A,148.6,44,C,73.8,40
21,525,0,1,-1,,-1,2,A,146.8,40
22,530,0,0,5,A,131.2,67,D,46.0,40
23,535,0,0,15,A,155.6,22,B,99.4,40
24,540,0,0,7,A,159.0,47,C,58.2,40
26,545,0,0,19,B,115.0,4,A,136.4,20
25,545,0,0,17,A,145.2,19,B,115.0,20
27,560,0,0,16,A,150.4,6,A,126.0,20
30,565,0,0,11,A,138.2,23,B,94.2,20
28,565,0,0,1,A,152.0,71,D,26.80000000000001,40
29,565,0,0,6,A,126.0,72,D,32.0,40
31,575,1,0,2,A,146.8,75,D,42.599999999999994,40
32,580,0,1,-1,,-1,3,A,141.6,40
33,620,0,0,3,A,141.6,46,C,63.400000000000006,40
34,625,0,0,5,A,131.2,21,B,104.6,20
35,675,1,0,8,A,153.8,69,D,35.599999999999994,40
37,685,0,0,9,A,148.6,6,A,126.0,20
36,685,0,0,4,A,136.4,48,C,53.0,40
38,695,0,0,13,A,166.0,24,B,89.0,20
39,695,0,0,5,A,131.2,70,D,30.400000000000006,40
40,720,0,0,2,A,146.8,47,C,58.2,40
41,740,0,0,1,A,152.0,46,C,63.400000000000006,40
42,745,0,0,7,A,159.0,5,A,131.2,20
43,745,0,0,3,A,141.6,68,D,40.80000000000001,40
45,750,1,0,8,A,153.8,3,A,141.6,20
44,750,0,0,9,A,148.6,71,D,26.80000000000001,40
46,750,0,0,6,A,126.0,23,B,94.2,40
47,770,0,0,10,A,143.4,22,B,99.4,20
48,790,0,0,6,A,126.0,45,C,68.6,40
49,800,0,0,4,A,136.4,48,C,53.0,40
50,810,0,0,13,A,166.0,24,B,89.0,20
51,815,0,0,14,A,160.8,69,D,35.599999999999994,40
52,820,0,0,11,A,138.2,23,B,94.2,35
53,985,1,0,1,A,152.0,69,D,35.599999999999994,0
54,995,0,0,2,A,146.8,6,A,126.0,0
55,1020,0,0,1,A,152.0,24,B,89.0,0
56,1025,1,0,3,A,141.6,3,A,141.6,0
57,1045,0,0,7,A,159.0,23,B,94.2,20
58,1050,1,0,1,A,152.0,69,D,35.599999999999994,0
59,1055,0,0,4,A,136.4,1,A,152.0,20
60,1055,0,0,8,A,153.8,48,C,53.0,0
62,1060,1,0,9,A,148.6,2,A,146.8,20
63,1060,0,0,5,A,131.2,24,B,89.0,20
61,1060,0,0,6,A,126.0,47,C,58.2,40
64,1065,0,0,13,A,166.0,46,C,63.400000000000006,20
65,1065,0,0,10,A,143.4,22,B,99.4,20
66,1070,0,0,14,A,160.8,45,C,68.6,20
67,1080,0,0,3,A,141.6,71,D,26.80000000000001,0
69,1090,0,0,8,A,153.8,5,A,131.2,20
68,1090,0,0,6,A,126.0,48,C,53.0,40
70,1095,0,1,-1,,-1,3,A,141.6,20
71,1100,0,0,11,A,138.2,21,B,104.6,20
72,1105,0,0,4,A,136.4,70,D,30.400000000000006,40
73,1110,0,0,15,A,155.6,47,C,58.2,40
74,1110,0,0,12,A,133.0,68,D,40.80000000000001,0
75,1115,0,0,2,A,146.8,67,D,46.0,40
76,1120,0,0,13,A,166.0,44,C,73.8,40
77,1125,0,1,-1,,-1,-1,,-1,0
78,1140,0,0,7,A,159.0,71,D,26.80000000000001,40
79,1145,0,0,16,A,150.4,6,A,126.0,20
80,1155,1,0,67,D,46.0,1,A,152.0,20
81,1165,0,0,10,A,143.4,19,B,115.0,20
82,1165,0,0,12,A,133.0,23,B,94.2,20
83,1175,1,0,8,A,153.8,3,A,141.6,20
84,1180,1,0,68,D,40.80000000000001,7,A,159.0,5
